;Sex;Age;WeightClassKg;BodyweightKg;TotalKg;Wilks
214909;M;55,5;"[73,5999984741211, 83,80000305175781)";79,8;432,5;295,73
215074;M;28,0;"[73,5999984741211, 83,80000305175781)";82,3;630,0;422,66
215167;M;24,0;"[73,5999984741211, 83,80000305175781)";82,25;655,0;439,59
215468;M;25,5;"[83,80000305175781, 94,0)";90,34;555,0;353,63
215520;M;47,5;"[73,5999984741211, 83,80000305175781)";74,95;600,0;427,73
215744;F;37,5;"[43,0, 53,20000076293945)";51,4;312,5;393,07
215772;M;35,5;"[83,80000305175781, 94,0)";93,0;697,5;438,16
215794;F;18,5;"[63,400001525878906, 73,5999984741211)";68,2;317,5;321,67
215828;M;63,5;"[83,80000305175781, 94,0)";92,3;497,5;313,66
215984;F;16,5;"[63,400001525878906, 73,5999984741211)";71,0;300,0;295,57
216007;F;20,5;"[63,400001525878906, 73,5999984741211)";69,9;310,0;308,71
216018;M;20,5;"[53,20000076293945, 63,400001525878906)";57,15;467,5;417,29
216049;M;22,5;"[73,5999984741211, 83,80000305175781)";82,75;575,0;384,5
216078;F;43,5;"[53,20000076293945, 63,400001525878906)";62,8;377,5;406,4
216084;F;46,5;"[63,400001525878906, 73,5999984741211)";71,2;317,5;312,22
216102;F;56,5;"[63,400001525878906, 73,5999984741211)";68,55;262,5;264,99
216193;F;45,5;"[63,400001525878906, 73,5999984741211)";71,0;292,5;288,18
216201;M;28,5;"[83,80000305175781, 94,0)";88,9;525,0;337,29
613207;F;27,0;"[73,5999984741211, 83,80000305175781)";80,9;297,5;270,55
615119;F;46,0;"[73,5999984741211, 83,80000305175781)";81,0;372,5;338,52
615217;F;62,0;"[73,5999984741211, 83,80000305175781)";71,9;205,0;200,27
615240;M;79,0;"[73,5999984741211, 83,80000305175781)";70,8;422,5;313,9
617847;F;42,0;"[83,80000305175781, 94,0)";89,6;400,0;346,27
619020;F;68,0;"[83,80000305175781, 94,0)";87,4;170,5;149,2
619076;M;56,0;"[73,5999984741211, 83,80000305175781)";81,6;705,0;475,43
620203;F;30,0;"[73,5999984741211, 83,80000305175781)";74,7;330,0;314,5
620206;F;36,0;"[83,80000305175781, 94,0)";89,8;352,5;304,86
620233;F;25,0;"[53,20000076293945, 63,400001525878906)";56,8;342,5;398,53
620259;M;58,0;"[83,80000305175781, 94,0)";88,55;400,0;257,51
620304;M;17,0;"[53,20000076293945, 63,400001525878906)";59,0;422,5;365,96
620381;M;21,0;"[83,80000305175781, 94,0)";87,9;602,5;389,39
622103;M;43,0;"[94,0, 104,19999694824219)";95,3;617,5;383,56
623466;M;37,0;"[73,5999984741211, 83,80000305175781)";72,35;640,0;467,9
623952;M;40,0;"[83,80000305175781, 94,0)";89,7;515,0;329,33
624037;M;24,0;"[134,8000030517578, 145,0]";136,3;775,0;434,86
624292;M;17,0;"[83,80000305175781, 94,0)";88,7;552,5;355,37
625722;M;48,0;"[83,80000305175781, 94,0)";89,1;490,0;314,43
626508;M;27,0;"[53,20000076293945, 63,400001525878906)";54,3;410,0;384,83
628178;M;24,0;"[124,5999984741211, 134,8000030517578)";114,5;465,0;270,5
630610;M;15,0;"[83,80000305175781, 94,0)";87,9;535,0;345,77
632080;F;52,0;"[53,20000076293945, 63,400001525878906)";58,51;401,43;456,39
633060;M;56,0;"[73,5999984741211, 83,80000305175781)";79,7;412,5;282,28
633136;M;26,0;"[73,5999984741211, 83,80000305175781)";74,0;432,5;311,1
635914;M;62,0;"[73,5999984741211, 83,80000305175781)";73,8;417,5;300,89
638371;F;21,0;"[83,80000305175781, 94,0)";76,2;340,0;320,06
638497;M;23,5;"[63,400001525878906, 73,5999984741211)";64,14;547,5;440,29
638586;M;35,5;"[104,19999694824219, 114,4000015258789)";100,14;817,5;497,24
652169;F;25,0;"[73,5999984741211, 83,80000305175781)";79,7;482,5;442,42
652504;M;34,0;"[73,5999984741211, 83,80000305175781)";70,31;545,0;407,04
654419;F;27,0;"[53,20000076293945, 63,400001525878906)";59,33;227,5;255,86
657911;M;27,0;"[124,5999984741211, 134,8000030517578)";118,84;595,0;342,86
658290;F;20,0;"[43,0, 53,20000076293945)";47,2;217,5;291,62
658321;M;35,0;"[94,0, 104,19999694824219)";97,1;425,0;261,83
658600;M;20,5;"[73,5999984741211, 83,80000305175781)";73,9;695,0;500,4
